year,variety,Nitrogen,location ,AGW,KN,GY
2023,cv1,N1,Iowa,282.6,3621,10125.8
2023,cv1,N1,Iowa,269.7,3476,9274.9
2023,cv1,N1,Iowa,257.3,3911,9955.6
2023,cv1,N1,Iowa,311.7,3476,10721.4
2023,cv1,N1,Iowa,283.2,3766,10551.3
2023,cv1,N1,Iowa,284.6,4200,11827.6
2023,cv1,N1,Iowa,313.8,3042,9445.1
2023,cv1,N1,Iowa,337.4,3186,10636.3
2023,cv1,N1,Iowa,262.1,4200,10891.6
2023,cv1,N1,Iowa,278.4,4200,11572.3
2023,cv1,N1,Illinois,253.9,3845,9659.6
2023,cv1,N1,Illinois,347.1,3017,10360.7
2023,cv1,N1,Illinois,251.8,3845,9581.7
2023,cv1,N1,Illinois,286.8,3597,10204.9
2023,cv1,N1,Illinois,281.4,3945,10983.9
2023,cv1,N1,Illinois,263.7,4508,11762.9
2023,cv1,N1,Illinois,343.1,3580,12152.4
2023,cv1,N1,Illinois,269.3,3713,9893.3
2023,cv1,N1,Illinois,286.9,4061,11529.2
2023,cv1,N1,Illinois,328.3,3381,10983.9
2023,cv1,N1,Nebraska,288.4,5641,16095.3
2023,cv1,N1,Nebraska,263.9,6164,16095.3
2023,cv1,N1,Nebraska,268.8,5802,15432.6
2023,cv1,N1,Nebraska,359.2,4795,17042.1
2023,cv1,N1,Nebraska,262.5,6124,15906.0
2023,cv1,N1,Nebraska,289.9,5479,15716.6
2023,cv1,N1,Nebraska,277.1,6527,17894.2
2023,cv1,N1,Nebraska,293.4,4795,13917.7
2023,cv1,N1,Nebraska,252.3,5157,12876.3
2023,cv1,N1,Nebraska,0.0,5620,0.0
2023,cv2,N1,Iowa,265.2,4651,12205.1
2023,cv2,N1,Iowa,269.5,4884,13024.9
2023,cv2,N1,Iowa,306.5,3934,11931.9
2023,cv2,N1,Iowa,300.9,3120,9290.5
2023,cv2,N1,Iowa,337.4,3411,11385.4
2023,cv2,N1,Iowa,294.2,3411,9928.1
2023,cv2,N1,Iowa,289.0,3663,10474.6
2023,cv2,N1,Iowa,305.4,3798,11476.5
2023,cv2,N1,Iowa,233.5,4651,10747.8
2023,cv2,N1,Iowa,284.5,3721,10474.6
2023,cv2,N1,Illinois,237.5,4174,9808.2
2023,cv2,N1,Illinois,265.1,3770,9887.3
2023,cv2,N1,Illinois,255.3,4039,10203.7
2023,cv2,N1,Illinois,262.4,4174,10836.5
2023,cv2,N1,Illinois,279.9,3770,10441.0
2023,cv2,N1,Illinois,267.2,4847,12813.9
2023,cv2,N1,Illinois,271.4,4123,11073.8
2023,cv2,N1,Illinois,271.4,3652,9808.2
2023,cv2,N1,Illinois,282.0,3770,10520.1
2023,cv2,N1,Illinois,296.9,4443,13051.2
2023,cv2,N1,Nebraska,316.7,4012,12569.5
2023,cv2,N1,Nebraska,326.0,3589,11577.1
2023,cv2,N1,Nebraska,310.4,4012,12321.4
2023,cv2,N1,Nebraska,307.2,4434,13479.1
2023,cv2,N1,Nebraska,286.9,4311,12238.7
